,Scores,Card,Loss
389,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398740>,"tf.Tensor(15.335565, shape=(), dtype=float32)"
390,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533987B0>,"tf.Tensor(13.883441, shape=(), dtype=float32)"
391,28,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398820>,"tf.Tensor(8.449862, shape=(), dtype=float32)"
392,51,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398890>,"tf.Tensor(10.16357, shape=(), dtype=float32)"
393,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398900>,"tf.Tensor(26.751682, shape=(), dtype=float32)"
394,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398970>,"tf.Tensor(65.74817, shape=(), dtype=float32)"
395,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533989E0>,"tf.Tensor(7.879119, shape=(), dtype=float32)"
396,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398A50>,"tf.Tensor(10.041597, shape=(), dtype=float32)"
397,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398AC0>,"tf.Tensor(31.25999, shape=(), dtype=float32)"
398,27,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398B30>,"tf.Tensor(10.791306, shape=(), dtype=float32)"
399,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398BA0>,"tf.Tensor(18.68186, shape=(), dtype=float32)"
400,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398510>,"tf.Tensor(19.35402, shape=(), dtype=float32)"
401,26,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398CF0>,"tf.Tensor(19.732845, shape=(), dtype=float32)"
402,32,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398C80>,"tf.Tensor(22.812649, shape=(), dtype=float32)"
403,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398D60>,"tf.Tensor(24.319004, shape=(), dtype=float32)"
404,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398DD0>,"tf.Tensor(30.925549, shape=(), dtype=float32)"
405,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398E40>,"tf.Tensor(58.649902, shape=(), dtype=float32)"
406,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398EB0>,"tf.Tensor(22.87911, shape=(), dtype=float32)"
407,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398F20>,"tf.Tensor(33.886894, shape=(), dtype=float32)"
408,36,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398F90>,"tf.Tensor(50.98304, shape=(), dtype=float32)"
409,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753398C10>,"tf.Tensor(16.240461, shape=(), dtype=float32)"
410,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C040>,"tf.Tensor(12.473734, shape=(), dtype=float32)"
411,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C120>,"tf.Tensor(51.702835, shape=(), dtype=float32)"
412,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C190>,"tf.Tensor(40.27992, shape=(), dtype=float32)"
413,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C200>,"tf.Tensor(26.341492, shape=(), dtype=float32)"
414,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C270>,"tf.Tensor(27.504847, shape=(), dtype=float32)"
415,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C2E0>,"tf.Tensor(23.060873, shape=(), dtype=float32)"
416,33,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C0B0>,"tf.Tensor(93.33768, shape=(), dtype=float32)"
417,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C430>,"tf.Tensor(23.392502, shape=(), dtype=float32)"
418,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C3C0>,"tf.Tensor(34.197453, shape=(), dtype=float32)"
419,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C4A0>,"tf.Tensor(39.21678, shape=(), dtype=float32)"
420,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C510>,"tf.Tensor(12.221884, shape=(), dtype=float32)"
421,3,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C580>,"tf.Tensor(54.220474, shape=(), dtype=float32)"
422,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C5F0>,"tf.Tensor(15.38042, shape=(), dtype=float32)"
423,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C660>,"tf.Tensor(17.7192, shape=(), dtype=float32)"
424,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C6D0>,"tf.Tensor(17.928162, shape=(), dtype=float32)"
425,1,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C740>,"tf.Tensor(25.273846, shape=(), dtype=float32)"
426,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C7B0>,"tf.Tensor(28.333855, shape=(), dtype=float32)"
427,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C820>,"tf.Tensor(11.960504, shape=(), dtype=float32)"
428,37,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C890>,"tf.Tensor(12.044457, shape=(), dtype=float32)"
429,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C900>,"tf.Tensor(48.66787, shape=(), dtype=float32)"
430,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C970>,"tf.Tensor(31.827404, shape=(), dtype=float32)"
431,30,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C9E0>,"tf.Tensor(14.926647, shape=(), dtype=float32)"
432,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339C350>,"tf.Tensor(12.248808, shape=(), dtype=float32)"
433,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CB30>,"tf.Tensor(48.60249, shape=(), dtype=float32)"
434,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CAC0>,"tf.Tensor(35.15635, shape=(), dtype=float32)"
435,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CBA0>,"tf.Tensor(44.950138, shape=(), dtype=float32)"
436,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CC10>,"tf.Tensor(64.54551, shape=(), dtype=float32)"
437,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CC80>,"tf.Tensor(18.911652, shape=(), dtype=float32)"
438,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CCF0>,"tf.Tensor(29.751665, shape=(), dtype=float32)"
439,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CD60>,"tf.Tensor(25.464533, shape=(), dtype=float32)"
440,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CDD0>,"tf.Tensor(64.90317, shape=(), dtype=float32)"
441,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CE40>,"tf.Tensor(37.99831, shape=(), dtype=float32)"
442,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CEB0>,"tf.Tensor(25.963734, shape=(), dtype=float32)"
443,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CF20>,"tf.Tensor(20.915455, shape=(), dtype=float32)"
444,2,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CF90>,"tf.Tensor(45.487392, shape=(), dtype=float32)"
445,2,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975339CA50>,"tf.Tensor(21.88013, shape=(), dtype=float32)"
446,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D040>,"tf.Tensor(21.49651, shape=(), dtype=float32)"
447,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D120>,"tf.Tensor(17.77615, shape=(), dtype=float32)"
448,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D0B0>,"tf.Tensor(25.70982, shape=(), dtype=float32)"
449,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D270>,"tf.Tensor(75.31773, shape=(), dtype=float32)"
450,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D200>,"tf.Tensor(8.08246, shape=(), dtype=float32)"
451,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D2E0>,"tf.Tensor(12.538603, shape=(), dtype=float32)"
452,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D350>,"tf.Tensor(53.770287, shape=(), dtype=float32)"
453,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D3C0>,"tf.Tensor(48.07148, shape=(), dtype=float32)"
454,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D430>,"tf.Tensor(10.32638, shape=(), dtype=float32)"
455,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D4A0>,"tf.Tensor(41.168514, shape=(), dtype=float32)"
456,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D510>,"tf.Tensor(29.181684, shape=(), dtype=float32)"
457,41,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D580>,"tf.Tensor(76.520004, shape=(), dtype=float32)"
458,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D5F0>,"tf.Tensor(74.54813, shape=(), dtype=float32)"
459,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D660>,"tf.Tensor(42.018456, shape=(), dtype=float32)"
460,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D6D0>,"tf.Tensor(23.247684, shape=(), dtype=float32)"
461,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D740>,"tf.Tensor(48.53887, shape=(), dtype=float32)"
462,3,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D7B0>,"tf.Tensor(52.548363, shape=(), dtype=float32)"
463,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D820>,"tf.Tensor(49.566925, shape=(), dtype=float32)"
464,2,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D190>,"tf.Tensor(68.99257, shape=(), dtype=float32)"
465,9,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D970>,"tf.Tensor(19.972973, shape=(), dtype=float32)"
466,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D900>,"tf.Tensor(45.052345, shape=(), dtype=float32)"
467,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D9E0>,"tf.Tensor(65.26203, shape=(), dtype=float32)"
468,11,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DA50>,"tf.Tensor(45.3791, shape=(), dtype=float32)"
469,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DAC0>,"tf.Tensor(13.270708, shape=(), dtype=float32)"
470,6,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DB30>,"tf.Tensor(50.75135, shape=(), dtype=float32)"
471,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DBA0>,"tf.Tensor(25.648672, shape=(), dtype=float32)"
472,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DC10>,"tf.Tensor(54.220455, shape=(), dtype=float32)"
473,32,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DC80>,"tf.Tensor(19.564362, shape=(), dtype=float32)"
474,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DCF0>,"tf.Tensor(11.02755, shape=(), dtype=float32)"
475,31,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DD60>,"tf.Tensor(40.678047, shape=(), dtype=float32)"
476,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DDD0>,"tf.Tensor(15.47531, shape=(), dtype=float32)"
477,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DE40>,"tf.Tensor(15.898695, shape=(), dtype=float32)"
478,20,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DEB0>,"tf.Tensor(53.04348, shape=(), dtype=float32)"
479,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DF20>,"tf.Tensor(20.267609, shape=(), dtype=float32)"
480,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338D890>,"tf.Tensor(35.50922, shape=(), dtype=float32)"
481,13,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x000002975338DF90>,"tf.Tensor(27.893871, shape=(), dtype=float32)"
482,31,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396040>,"tf.Tensor(17.741505, shape=(), dtype=float32)"
483,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396120>,"tf.Tensor(8.943647, shape=(), dtype=float32)"
484,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396190>,"tf.Tensor(71.36108, shape=(), dtype=float32)"
485,17,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396200>,"tf.Tensor(20.559286, shape=(), dtype=float32)"
486,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396270>,"tf.Tensor(31.042715, shape=(), dtype=float32)"
487,25,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533962E0>,"tf.Tensor(34.290382, shape=(), dtype=float32)"
488,18,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396350>,"tf.Tensor(40.87046, shape=(), dtype=float32)"
489,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533963C0>,"tf.Tensor(58.793037, shape=(), dtype=float32)"
490,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396430>,"tf.Tensor(13.753616, shape=(), dtype=float32)"
491,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533964A0>,"tf.Tensor(31.027906, shape=(), dtype=float32)"
492,2,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396510>,"tf.Tensor(24.258907, shape=(), dtype=float32)"
493,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396580>,"tf.Tensor(49.359005, shape=(), dtype=float32)"
494,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533965F0>,"tf.Tensor(8.533153, shape=(), dtype=float32)"
495,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396660>,"tf.Tensor(35.754154, shape=(), dtype=float32)"
496,1,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533960B0>,"tf.Tensor(12.819604, shape=(), dtype=float32)"
497,12,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533967B0>,"tf.Tensor(23.96746, shape=(), dtype=float32)"
498,19,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396740>,"tf.Tensor(16.616886, shape=(), dtype=float32)"
499,16,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396820>,"tf.Tensor(50.173393, shape=(), dtype=float32)"
500,14,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396890>,"tf.Tensor(14.073232, shape=(), dtype=float32)"
501,0,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396900>,"tf.Tensor(20.78048, shape=(), dtype=float32)"
502,21,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396970>,"tf.Tensor(37.239532, shape=(), dtype=float32)"
503,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x00000297533969E0>,"tf.Tensor(100.76872, shape=(), dtype=float32)"
504,10,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396A50>,"tf.Tensor(24.363749, shape=(), dtype=float32)"
505,23,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396AC0>,"tf.Tensor(21.784395, shape=(), dtype=float32)"
506,22,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396B30>,"tf.Tensor(46.277542, shape=(), dtype=float32)"
507,7,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396BA0>,"tf.Tensor(20.009933, shape=(), dtype=float32)"
508,15,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396C10>,"tf.Tensor(20.358013, shape=(), dtype=float32)"
509,5,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396CF0>,"tf.Tensor(35.83999, shape=(), dtype=float32)"
510,4,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396D60>,"tf.Tensor(21.508202, shape=(), dtype=float32)"
511,8,<generator object Yahtzee.print_scores.<locals>.<genexpr> at 0x0000029753396E40>,"tf.Tensor(13.632949, shape=(), dtype=float32)"
